QUESTION	LEVEL	CORRECT ANSWER	WRONG 1	WRONG 2	WRONG 3
Vật gì có 4 chân để bày đồ ăn lên vào các bữa ăn ?	Dễ	Cái bàn	Cái ghế	Cái tủ	Cái lò nướng
Vật gì dùng để nằm ngủ ?	Dễ	Cái giường	Cái bàn	Cái ghế	Cái hộp
Vật gì dùng để chứa áo quần ?	Dễ	Cái tủ	Cái bàn	Cái lò nướng	Bồn rửa mặt
Vật gì được dùng để nghe nhạc, thông báo ?	Dễ	Cái đài radio	Cái tivi	Cái tủ lạnh	Cái lò nướng
Vật gì được dùng để xem phim, tin tức ?	Dễ	Cái tivi	Cái đài radio	Cái giường	Cái hộp
Nuôi cá trong nhà phải nuôi ở trong vật gì ?	Dễ	Bể cá	Bồn tắm	Bồn rửa mặt	Cái lò nướng
Trời quá nóng, trong nhà muốn mát mẻ phải sử dụng vật gì ?	Dễ	Cái quạt máy	Bể cá	Cái lò nướng	Cái tivi
Muốn đọc sách, đọc truyện tranh phải lấy từ đâu ?	Dễ	Cái kệ sách	Cái bàn	Cái giường	Cái hộp
Muốn đào đất trồng cây ở ngoài sân nhà phải dùng vật gì ?	Dễ	Cái xẻng	Cái thìa, muỗng	Cái hộp	Cái bể cá
Cây xoài ngoài vườn sắp chín rụng, phải dùng vật gì để hứng xoài đấy ?	Dễ	Cái vợt hái trái cây	Cái bình hoa	Cái lò nướng	Cái ghế
Vật gì dùng chính cho việc thờ cúng các vị thần, tổ tiên ?	Dễ	Trang thờ, bàn thờ	Cái ghế	Cái giường	Cái bể cá
Trời sắp tối rồi, phải dùng gì thể thắp sáng xung quanh đây ?	Dễ	Cái đèn	Cái tivi	Cái lò nướng	Cái hộp
Vật gì dùng để xem thời gian ?	Dễ	Cái đồng hồ	Cái đài radio	Cái bể cá	Cái thìa, muỗng
Chân bẩn rồi!! Muốn vào nhà phải dùng gì để làm sạch bàn chân đây ?	Dễ	Cái thảm	Cái giường	Cái quạt máy	Cái xẻng
Chiến tranh thế giới thứ I kết thúc vào năm nào ?	Trung bình	1918	1920	1945	1975
Nền văn minh nào xây Kim Tự Tháp ?	Trung bình	Ai Cập	La Mã	Trung Quốc	Hy Lạp
Bom Nguyên Tử lần đầu được sử dụng ở quốc gia nào ?	Khó	Mỹ	Nhật Bản	Nga Sô Viết	Bán đảo Triều Tiên
Vị Anh Hùng Dân Tộc nào được biến đến nhiều nhất trong các cuộc chiến trang Mông-Nguyên và Đại Việt ?	Trung bình	Trần Hưng Đạo	Trần Nguyên Hãn	Trần Ích Tắc	Trần Thủ Độ
Ai là hoàng đế đầu tiên của nhà Tây Sơn ?	Khó	Nguyễn Nhạc	Nguyễn Huệ	Nguyễn Ánh	Nguyễn Lữ
